pres.bl	block	gr.fact	prob.	trial	pumps	cash	total
1	3	0.25	20	1	4	0.99	0.99
1	3	0.25	20	2	1	0	0.99
1	3	0.25	20	3	1	0	0.99
1	3	0.25	20	4	4	0.99	1.98
1	3	0.25	20	5	5	1.24	3.22
1	3	0.25	20	6	1	0	3.22
1	3	0.25	20	7	5	1.24	4.46
1	3	0.25	20	8	6	1.55	6.01
1	3	0.25	20	9	5	1.24	7.25
1	3	0.25	20	10	6	0	7.25
1	3	0.25	20	11	5	0	7.25
1	3	0.25	20	12	5	1.24	8.49
1	3	0.25	20	13	4	0	8.49
1	3	0.25	20	14	4	0	8.49
1	3	0.25	20	15	6	0	8.49
1	3	0.25	20	16	2	0	8.49
1	3	0.25	20	17	5	0	8.49
1	3	0.25	20	18	1	0	8.49
1	3	0.25	20	19	1	0	8.49
1	3	0.25	20	20	6	1.55	10.04
1	3	0.25	20	21	5	1.24	11.28
1	3	0.25	20	22	1	0	11.28
1	3	0.25	20	23	1	0.5	11.78
1	3	0.25	20	24	2	0	11.78
1	3	0.25	20	25	3	0	11.78
1	3	0.25	20	26	3	0	11.78
1	3	0.25	20	27	4	0	11.78
1	3	0.25	20	28	8	2.42	14.2
1	3	0.25	20	29	3	0	14.2
1	3	0.25	20	30	11	0	14.2
2	2	0.1765	15	1	5	0	0
2	2	0.1765	15	2	6	1.12	1.12
2	2	0.1765	15	3	1	0	1.12
2	2	0.1765	15	4	5	0	1.12
2	2	0.1765	15	5	5	0.95	2.07
2	2	0.1765	15	6	2	0	2.07
2	2	0.1765	15	7	1	0.5	2.57
2	2	0.1765	15	8	2	0.59	3.16
2	2	0.1765	15	9	3	0.69	3.85
2	2	0.1765	15	10	1	0	3.85
2	2	0.1765	15	11	4	0.81	4.66
2	2	0.1765	15	12	3	0	4.66
2	2	0.1765	15	13	5	0	4.66
2	2	0.1765	15	14	2	0	4.66
2	2	0.1765	15	15	1	0	4.66
2	2	0.1765	15	16	13	3.48	8.14
2	2	0.1765	15	17	15	4.81	12.95
2	2	0.1765	15	18	1	0	12.95
2	2	0.1765	15	19	2	0	12.95
2	2	0.1765	15	20	1	0.5	13.45
2	2	0.1765	15	21	4	0	13.45
2	2	0.1765	15	22	4	0	13.45
2	2	0.1765	15	23	10	0	13.45
2	2	0.1765	15	24	1	0	13.45
2	2	0.1765	15	25	7	0	13.45
2	2	0.1765	15	26	6	1.12	14.57
2	2	0.1765	15	27	1	0	14.57
2	2	0.1765	15	28	1	0.5	15.07
2	2	0.1765	15	29	6	0	15.07
2	2	0.1765	15	30	4	0	15.07
3	1	0.1111	10	1	1	0	0
3	1	0.1111	10	2	4	0	0
3	1	0.1111	10	3	1	0.5	0.5
3	1	0.1111	10	4	1	0.5	1
3	1	0.1111	10	5	6	0	1
3	1	0.1111	10	6	5	0.77	1.77
3	1	0.1111	10	7	6	0.86	2.63
3	1	0.1111	10	8	3	0	2.63
3	1	0.1111	10	9	2	0	2.63
3	1	0.1111	10	10	1	0.5	3.13
3	1	0.1111	10	11	2	0.56	3.69
3	1	0.1111	10	12	12	1.63	5.32
3	1	0.1111	10	13	3	0.62	5.94
3	1	0.1111	10	14	3	0	5.94
3	1	0.1111	10	15	14	2.01	7.95
3	1	0.1111	10	16	5	0.77	8.72
3	1	0.1111	10	17	11	0	8.72
3	1	0.1111	10	18	4	0	8.72
3	1	0.1111	10	19	3	0	8.72
3	1	0.1111	10	20	3	0	8.72
3	1	0.1111	10	21	3	0	8.72
3	1	0.1111	10	22	2	0	8.72
3	1	0.1111	10	23	1	0.5	9.22
3	1	0.1111	10	24	1	0.5	9.72
3	1	0.1111	10	25	1	0.5	10.22
3	1	0.1111	10	26	3	0.62	10.84
3	1	0.1111	10	27	5	0.77	11.61
3	1	0.1111	10	28	7	0	11.61
3	1	0.1111	10	29	1	0	11.61
3	1	0.1111	10	30	6	0.86	12.47
