pres.bl	block	gr.fact	prob.	trial	pumps	cash	total
1	3	0.25	20	1	5	1.24	1.24
1	3	0.25	20	2	3	0	1.24
1	3	0.25	20	3	7	1.94	3.18
1	3	0.25	20	4	5	0	3.18
1	3	0.25	20	5	3	0	3.18
1	3	0.25	20	6	5	1.24	4.42
1	3	0.25	20	7	1	0	4.42
1	3	0.25	20	8	4	0	4.42
1	3	0.25	20	9	2	0	4.42
1	3	0.25	20	10	2	0	4.42
1	3	0.25	20	11	1	0	4.42
1	3	0.25	20	12	1	0	4.42
1	3	0.25	20	13	1	0	4.42
1	3	0.25	20	14	1	0.5	4.92
1	3	0.25	20	15	5	1.24	6.16
1	3	0.25	20	16	6	0	6.16
1	3	0.25	20	17	1	0	6.16
1	3	0.25	20	18	3	0	6.16
1	3	0.25	20	19	1	0	6.16
1	3	0.25	20	20	1	0.5	6.66
1	3	0.25	20	21	6	1.55	8.21
1	3	0.25	20	22	1	0	8.21
1	3	0.25	20	23	1	0	8.21
1	3	0.25	20	24	5	1.24	9.45
1	3	0.25	20	25	1	0	9.45
1	3	0.25	20	26	1	0.5	9.95
1	3	0.25	20	27	1	0.5	10.45
1	3	0.25	20	28	7	1.94	12.39
1	3	0.25	20	29	8	2.42	14.81
1	3	0.25	20	30	2	0	14.81
2	2	0.1765	15	1	8	1.55	1.55
2	2	0.1765	15	2	6	1.12	2.67
2	2	0.1765	15	3	9	0	2.67
2	2	0.1765	15	4	2	0	2.67
2	2	0.1765	15	5	4	0	2.67
2	2	0.1765	15	6	2	0	2.67
2	2	0.1765	15	7	3	0	2.67
2	2	0.1765	15	8	6	0	2.67
2	2	0.1765	15	9	6	1.12	3.79
2	2	0.1765	15	10	1	0	3.79
2	2	0.1765	15	11	6	0	3.79
2	2	0.1765	15	12	2	0	3.79
2	2	0.1765	15	13	6	1.12	4.91
2	2	0.1765	15	14	2	0	4.91
2	2	0.1765	15	15	3	0	4.91
2	2	0.1765	15	16	1	0.5	5.41
2	2	0.1765	15	17	1	0.5	5.91
2	2	0.1765	15	18	1	0	5.91
2	2	0.1765	15	19	2	0	5.91
2	2	0.1765	15	20	7	0	5.91
2	2	0.1765	15	21	3	0	5.91
2	2	0.1765	15	22	3	0	5.91
2	2	0.1765	15	23	4	0.81	6.72
2	2	0.1765	15	24	3	0	6.72
2	2	0.1765	15	25	5	0.95	7.67
2	2	0.1765	15	26	6	0	7.67
2	2	0.1765	15	27	6	1.12	8.79
2	2	0.1765	15	28	2	0	8.79
2	2	0.1765	15	29	3	0	8.79
2	2	0.1765	15	30	3	0.69	9.48
3	1	0.1111	10	1	8	1.07	1.07
3	1	0.1111	10	2	9	1.19	2.26
3	1	0.1111	10	3	5	0	2.26
3	1	0.1111	10	4	8	1.07	3.33
3	1	0.1111	10	5	8	1.07	4.4
3	1	0.1111	10	6	9	1.19	5.59
3	1	0.1111	10	7	1	0	5.59
3	1	0.1111	10	8	11	1.47	7.06
3	1	0.1111	10	9	4	0	7.06
3	1	0.1111	10	10	2	0	7.06
3	1	0.1111	10	11	4	0	7.06
3	1	0.1111	10	12	4	0	7.06
3	1	0.1111	10	13	9	1.19	8.25
3	1	0.1111	10	14	8	1.07	9.32
3	1	0.1111	10	15	1	0	9.32
3	1	0.1111	10	16	6	0	9.32
3	1	0.1111	10	17	6	0.86	10.18
3	1	0.1111	10	18	6	0.86	11.04
3	1	0.1111	10	19	6	0.86	11.9
3	1	0.1111	10	20	3	0	11.9
3	1	0.1111	10	21	9	0	11.9
3	1	0.1111	10	22	4	0	11.9
3	1	0.1111	10	23	6	0	11.9
3	1	0.1111	10	24	7	0.96	12.86
3	1	0.1111	10	25	2	0.56	13.42
3	1	0.1111	10	26	1	0	13.42
3	1	0.1111	10	27	4	0.69	14.11
3	1	0.1111	10	28	6	0.86	14.97
3	1	0.1111	10	29	1	0	14.97
3	1	0.1111	10	30	1	0.5	15.47
