pres.bl	block	gr.fact	prob.	trial	pumps	cash	total
1	2	0.1765	15	1	1	0.5	0.5
1	2	0.1765	15	2	7	1.32	1.82
1	2	0.1765	15	3	7	1.32	3.14
1	2	0.1765	15	4	6	0	3.14
1	2	0.1765	15	5	5	0.95	4.09
1	2	0.1765	15	6	4	0	4.09
1	2	0.1765	15	7	3	0	4.09
1	2	0.1765	15	8	6	1.12	5.21
1	2	0.1765	15	9	4	0.81	6.02
1	2	0.1765	15	10	4	0.81	6.83
1	2	0.1765	15	11	2	0	6.83
1	2	0.1765	15	12	1	0	6.83
1	2	0.1765	15	13	4	0	6.83
1	2	0.1765	15	14	4	0.81	7.64
1	2	0.1765	15	15	2	0	7.64
1	2	0.1765	15	16	3	0.69	8.33
1	2	0.1765	15	17	3	0.69	9.02
1	2	0.1765	15	18	3	0.69	9.71
1	2	0.1765	15	19	3	0.69	10.4
1	2	0.1765	15	20	6	1.12	11.52
1	2	0.1765	15	21	5	0.95	12.47
1	2	0.1765	15	22	5	0.95	13.42
1	2	0.1765	15	23	5	0.95	14.37
1	2	0.1765	15	24	2	0	14.37
1	2	0.1765	15	25	5	0	14.37
1	2	0.1765	15	26	2	0	14.37
1	2	0.1765	15	27	4	0.81	15.18
1	2	0.1765	15	28	5	0.95	16.13
1	2	0.1765	15	29	5	0.95	17.08
1	2	0.1765	15	30	2	0	17.08
2	1	0.1111	10	1	9	1.19	1.19
2	1	0.1111	10	2	1	0	1.19
2	1	0.1111	10	3	6	0.86	2.05
2	1	0.1111	10	4	6	0.86	2.91
2	1	0.1111	10	5	6	0.86	3.77
2	1	0.1111	10	6	6	0.86	4.63
2	1	0.1111	10	7	4	0	4.63
2	1	0.1111	10	8	6	0.86	5.49
2	1	0.1111	10	9	5	0	5.49
2	1	0.1111	10	10	5	0	5.49
2	1	0.1111	10	11	2	0	5.49
2	1	0.1111	10	12	6	0.86	6.35
2	1	0.1111	10	13	2	0.56	6.91
2	1	0.1111	10	14	1	0.5	7.41
2	1	0.1111	10	15	1	0.5	7.91
2	1	0.1111	10	16	1	0.5	8.41
2	1	0.1111	10	17	1	0.5	8.91
2	1	0.1111	10	18	1	0.5	9.41
2	1	0.1111	10	19	1	0.5	9.91
2	1	0.1111	10	20	1	0.5	10.41
2	1	0.1111	10	21	1	0.5	10.91
2	1	0.1111	10	22	1	0.5	11.41
2	1	0.1111	10	23	1	0.5	11.91
2	1	0.1111	10	24	1	0.5	12.41
2	1	0.1111	10	25	1	0.5	12.91
2	1	0.1111	10	26	1	0.5	13.41
2	1	0.1111	10	27	1	0.5	13.91
2	1	0.1111	10	28	1	0.5	14.41
2	1	0.1111	10	29	1	0.5	14.91
2	1	0.1111	10	30	1	0.5	15.41
3	3	0.25	20	1	3	0	0
3	3	0.25	20	2	5	1.24	1.24
3	3	0.25	20	3	1	0	1.24
3	3	0.25	20	4	2	0	1.24
3	3	0.25	20	5	2	0.63	1.87
3	3	0.25	20	6	2	0.63	2.5
3	3	0.25	20	7	3	0.79	3.29
3	3	0.25	20	8	3	0	3.29
3	3	0.25	20	9	3	0.79	4.08
3	3	0.25	20	10	2	0	4.08
3	3	0.25	20	11	2	0.63	4.71
3	3	0.25	20	12	2	0	4.71
3	3	0.25	20	13	2	0.63	5.34
3	3	0.25	20	14	2	0.63	5.97
3	3	0.25	20	15	3	0.79	6.76
3	3	0.25	20	16	3	0.79	7.55
3	3	0.25	20	17	3	0.79	8.34
3	3	0.25	20	18	1	0	8.34
3	3	0.25	20	19	1	0.5	8.84
3	3	0.25	20	20	1	0.5	9.34
3	3	0.25	20	21	1	0.5	9.84
3	3	0.25	20	22	1	0	9.84
3	3	0.25	20	23	1	0.5	10.34
3	3	0.25	20	24	1	0.5	10.84
3	3	0.25	20	25	1	0.5	11.34
3	3	0.25	20	26	2	0.63	11.97
3	3	0.25	20	27	2	0.63	12.6
3	3	0.25	20	28	2	0.63	13.23
3	3	0.25	20	29	2	0.63	13.86
3	3	0.25	20	30	1	0.5	14.36
