pres.bl	block	gr.fact	prob.	trial	pumps	cash	total
1	2	0.1765	15	1	2	0	0
1	2	0.1765	15	2	1	0	0
1	2	0.1765	15	3	3	0.69	0.69
1	2	0.1765	15	4	3	0.69	1.38
1	2	0.1765	15	5	1	0	1.38
1	2	0.1765	15	6	1	0.5	1.88
1	2	0.1765	15	7	1	0.5	2.38
1	2	0.1765	15	8	1	0.5	2.88
1	2	0.1765	15	9	3	0.69	3.57
1	2	0.1765	15	10	3	0.69	4.26
1	2	0.1765	15	11	3	0.69	4.95
1	2	0.1765	15	12	3	0.69	5.64
1	2	0.1765	15	13	3	0.69	6.33
1	2	0.1765	15	14	3	0.69	7.02
1	2	0.1765	15	15	3	0.69	7.71
1	2	0.1765	15	16	5	0.95	8.66
1	2	0.1765	15	17	2	0	8.66
1	2	0.1765	15	18	4	0.81	9.47
1	2	0.1765	15	19	4	0.81	10.28
1	2	0.1765	15	20	4	0.81	11.09
1	2	0.1765	15	21	4	0.81	11.9
1	2	0.1765	15	22	2	0	11.9
1	2	0.1765	15	23	1	0	11.9
1	2	0.1765	15	24	2	0.59	12.49
1	2	0.1765	15	25	3	0	12.49
1	2	0.1765	15	26	1	0	12.49
1	2	0.1765	15	27	1	0.5	12.99
1	2	0.1765	15	28	1	0.5	13.49
1	2	0.1765	15	29	1	0.5	13.99
1	2	0.1765	15	30	1	0.5	14.49
2	1	0.1111	10	1	5	0	0
2	1	0.1111	10	2	5	0.77	0.77
2	1	0.1111	10	3	4	0.69	1.46
2	1	0.1111	10	4	1	0	1.46
2	1	0.1111	10	5	3	0	1.46
2	1	0.1111	10	6	1	0.5	1.96
2	1	0.1111	10	7	3	0.62	2.58
2	1	0.1111	10	8	3	0.62	3.2
2	1	0.1111	10	9	4	0.69	3.89
2	1	0.1111	10	10	4	0	3.89
2	1	0.1111	10	11	6	0.86	4.75
2	1	0.1111	10	12	2	0	4.75
2	1	0.1111	10	13	2	0.56	5.31
2	1	0.1111	10	14	1	0.5	5.81
2	1	0.1111	10	15	3	0	5.81
2	1	0.1111	10	16	3	0.62	6.43
2	1	0.1111	10	17	3	0.62	7.05
2	1	0.1111	10	18	3	0.62	7.67
2	1	0.1111	10	19	3	0.62	8.29
2	1	0.1111	10	20	1	0.5	8.79
2	1	0.1111	10	21	1	0.5	9.29
2	1	0.1111	10	22	1	0.5	9.79
2	1	0.1111	10	23	1	0.5	10.29
2	1	0.1111	10	24	7	0.96	11.25
2	1	0.1111	10	25	4	0.69	11.94
2	1	0.1111	10	26	4	0.69	12.63
2	1	0.1111	10	27	3	0	12.63
2	1	0.1111	10	28	1	0.5	13.13
2	1	0.1111	10	29	1	0.5	13.63
2	1	0.1111	10	30	1	0.5	14.13
3	3	0.25	20	1	2	0.63	0.63
3	3	0.25	20	2	3	0.79	1.42
3	3	0.25	20	3	2	0.63	2.05
3	3	0.25	20	4	3	0.79	2.84
3	3	0.25	20	5	2	0.63	3.47
3	3	0.25	20	6	3	0.79	4.26
3	3	0.25	20	7	2	0.63	4.89
3	3	0.25	20	8	4	0.99	5.88
3	3	0.25	20	9	2	0.63	6.51
3	3	0.25	20	10	5	1.24	7.75
3	3	0.25	20	11	1	0	7.75
3	3	0.25	20	12	1	0	7.75
3	3	0.25	20	13	3	0.79	8.54
3	3	0.25	20	14	2	0.63	9.17
3	3	0.25	20	15	5	1.24	10.41
3	3	0.25	20	16	1	0	10.41
3	3	0.25	20	17	3	0.79	11.2
3	3	0.25	20	18	2	0.63	11.83
3	3	0.25	20	19	1	0	11.83
3	3	0.25	20	20	1	0.5	12.33
3	3	0.25	20	21	1	0.5	12.83
3	3	0.25	20	22	1	0	12.83
3	3	0.25	20	23	1	0.5	13.33
3	3	0.25	20	24	2	0.63	13.96
3	3	0.25	20	25	2	0.63	14.59
3	3	0.25	20	26	2	0	14.59
3	3	0.25	20	27	1	0.5	15.09
3	3	0.25	20	28	1	0.5	15.59
3	3	0.25	20	29	1	0.5	16.09
3	3	0.25	20	30	1	0.5	16.59
