pres.bl	block	gr.fact	prob.	trial	pumps	cash	total
1	2	0.1765	15	1	4	0.81	0.81
1	2	0.1765	15	2	4	0.81	1.62
1	2	0.1765	15	3	2	0	1.62
1	2	0.1765	15	4	3	0.69	2.31
1	2	0.1765	15	5	5	0.95	3.26
1	2	0.1765	15	6	5	0.95	4.21
1	2	0.1765	15	7	5	0.95	5.16
1	2	0.1765	15	8	4	0	5.16
1	2	0.1765	15	9	1	0	5.16
1	2	0.1765	15	10	3	0	5.16
1	2	0.1765	15	11	3	0.69	5.85
1	2	0.1765	15	12	4	0.81	6.66
1	2	0.1765	15	13	1	0	6.66
1	2	0.1765	15	14	1	0.5	7.16
1	2	0.1765	15	15	4	0.81	7.97
1	2	0.1765	15	16	1	0	7.97
1	2	0.1765	15	17	1	0.5	8.47
1	2	0.1765	15	18	1	0	8.47
1	2	0.1765	15	19	5	0.95	9.42
1	2	0.1765	15	20	3	0.69	10.11
1	2	0.1765	15	21	5	0.95	11.06
1	2	0.1765	15	22	5	0.95	12.01
1	2	0.1765	15	23	2	0	12.01
1	2	0.1765	15	24	2	0.59	12.6
1	2	0.1765	15	25	6	1.12	13.72
1	2	0.1765	15	26	7	1.32	15.04
1	2	0.1765	15	27	5	0	15.04
1	2	0.1765	15	28	1	0	15.04
1	2	0.1765	15	29	5	0.95	15.99
1	2	0.1765	15	30	4	0.81	16.8
2	1	0.1111	10	1	6	0	0
2	1	0.1111	10	2	5	0.77	0.77
2	1	0.1111	10	3	4	0.69	1.46
2	1	0.1111	10	4	5	0.77	2.23
2	1	0.1111	10	5	5	0.77	3
2	1	0.1111	10	6	5	0.77	3.77
2	1	0.1111	10	7	5	0.77	4.54
2	1	0.1111	10	8	5	0.77	5.31
2	1	0.1111	10	9	5	0.77	6.08
2	1	0.1111	10	10	2	0	6.08
2	1	0.1111	10	11	5	0.77	6.85
2	1	0.1111	10	12	5	0.77	7.62
2	1	0.1111	10	13	5	0.77	8.39
2	1	0.1111	10	14	5	0.77	9.16
2	1	0.1111	10	15	7	0.96	10.12
2	1	0.1111	10	16	1	0	10.12
2	1	0.1111	10	17	2	0	10.12
2	1	0.1111	10	18	1	0	10.12
2	1	0.1111	10	19	5	0.77	10.89
2	1	0.1111	10	20	5	0.77	11.66
2	1	0.1111	10	21	5	0.77	12.43
2	1	0.1111	10	22	4	0	12.43
2	1	0.1111	10	23	3	0.62	13.05
2	1	0.1111	10	24	7	0.96	14.01
2	1	0.1111	10	25	7	0.96	14.97
2	1	0.1111	10	26	7	0.96	15.93
2	1	0.1111	10	27	8	1.07	17
2	1	0.1111	10	28	7	0.96	17.96
2	1	0.1111	10	29	8	1.07	19.03
2	1	0.1111	10	30	7	0	19.03
3	3	0.25	20	1	1	0	0
3	3	0.25	20	2	4	0.99	0.99
3	3	0.25	20	3	4	0.99	1.98
3	3	0.25	20	4	1	0	1.98
3	3	0.25	20	5	4	0.99	2.97
3	3	0.25	20	6	2	0	2.97
3	3	0.25	20	7	4	0.99	3.96
3	3	0.25	20	8	4	0.99	4.95
3	3	0.25	20	9	5	1.24	6.19
3	3	0.25	20	10	4	0.99	7.18
3	3	0.25	20	11	4	0.99	8.17
3	3	0.25	20	12	1	0	8.17
3	3	0.25	20	13	4	0.99	9.16
3	3	0.25	20	14	4	0.99	10.15
3	3	0.25	20	15	1	0	10.15
3	3	0.25	20	16	4	0.99	11.14
3	3	0.25	20	17	1	0	11.14
3	3	0.25	20	18	1	0	11.14
3	3	0.25	20	19	2	0	11.14
3	3	0.25	20	20	4	0.99	12.13
3	3	0.25	20	21	4	0.99	13.12
3	3	0.25	20	22	4	0.99	14.11
3	3	0.25	20	23	2	0	14.11
3	3	0.25	20	24	2	0	14.11
3	3	0.25	20	25	4	0.99	15.1
3	3	0.25	20	26	3	0	15.1
3	3	0.25	20	27	4	0	15.1
3	3	0.25	20	28	3	0	15.1
3	3	0.25	20	29	4	0.99	16.09
3	3	0.25	20	30	3	0	16.09
