List of populations of cities and towns in New York State in 1960,
used in the first example of Section 18.3 and summarized in Table 18.2
of Bayesian Data Analysis.  Code = 400 if included in Sample 1 only, 300 if
included in Sample 2 only, 200 if included in both samples, and 100 if
included in neither sample.

population code
2627319 100   
1809578 300   
1698281 100   
1424815 400   
 532759 100   
 318611 100   
 221991 100   
 216038 100   
 190634 100   
 172959 100   
 129726 100   
 102394 100   
 100410 100   
  81682 100   
  76812 300   
  76010 100   
  75941 100   
  70000 100   
  67492 100   
  65276 100   
  65128 100   
  51646 100   
  50485 100   
  50405 400   
  46517 100   
  46036 100   
  45000 100   
  44807 400   
  41818 100   
  38629 400   
  38330 100   
  35249 300   
  34757 100   
  34641 300   
  34419 100   
  34172 100   
  33306 100   
  32900 100   
  30979 100   
  30448 100   
  30204 100   
  30138 100   
  29564 100   
  29260 100   
  28799 100   
  28772 300   
  27710 100   
  26473 100   
  26443 200   
  26355 100   
   3653 100 
   3622 100 
   3616 100 
   3576 100 
   3568 100 
   3566 100 
   3548 100 
   3533 100 
   3533 100 
   3487 100 
   3476 100 
   3471 100 
   3352 300 
   3348 400 
   3343 100 
   3330 100 
   3323 100 
   3320 300 
   3310 100 
   3284 100 
   3278 100 
   3262 100 
   3250 100 
   3218 100 
   3193 100 
   3193 200 
   3180 100 
   3113 100 
   3070 100 
   3060 100 
   3058 100 
   3041 100 
   3035 100 
   2998 200 
   2954 300 
   2940 100 
   2931 100 
   2922 100 
   2921 200 
   2915 200 
   2849 100 
   2847 100 
   2841 100 
   2813 100 
   2809 400 
   2807 100 
   2788 100 
   2785 100 
   2772 100 
   2767 100 
    907 100 
    905 100 
    904 100 
    903 100 
    900 100   
    900 100   
    900 100   
    900 100   
    900 400   
    900 100   
    900 100   
    900 100   
    900 100   
    898 100   
    898 100   
    896 400   
    887 200   
    886 300   
    881 100      
    876 100   
    876 100   
    876 400   
    875 100   
    873 100   
    868 100   
    868 100   
    862 100   
    850 300   
    850 100   
    850 100   
    850 100   
    842 400   
    837 100   
    834 100   
    834 200   
    833 100   
    828 100   
    827 100   
    824 100   
    821 100   
    820 100   
    818 100   
    815 100   
    810 100   
    803 100   
    800 100   
    800 100   
    800 100   
    800 200   
    800 100   
 25000 100 
 24960 100 
 23948 100 
 23817 200 
 23475 200 
 23438 100 
 23138 300 
 22155 100 
 21868 100 
 21741 100 
 21561 100 
 21261 100 
 20905 100 
 20519 100 
 20515 200 
