pres.bl	block	gr.fact	prob.	trial	pumps	cash	total
1	3	0.25	20	1	3	0	0
1	3	0.25	20	2	5	1.24	1.24
1	3	0.25	20	3	2	0	1.24
1	3	0.25	20	4	4	0.99	2.23
1	3	0.25	20	5	1	0	2.23
1	3	0.25	20	6	4	0.99	3.22
1	3	0.25	20	7	3	0	3.22
1	3	0.25	20	8	3	0.79	4.01
1	3	0.25	20	9	4	0.99	5
1	3	0.25	20	10	6	1.55	6.55
1	3	0.25	20	11	1	0	6.55
1	3	0.25	20	12	4	0.99	7.54
1	3	0.25	20	13	1	0	7.54
1	3	0.25	20	14	4	0	7.54
1	3	0.25	20	15	4	0	7.54
1	3	0.25	20	16	2	0	7.54
1	3	0.25	20	17	3	0.79	8.33
1	3	0.25	20	18	2	0	8.33
1	3	0.25	20	19	5	1.24	9.57
1	3	0.25	20	20	3	0	9.57
1	3	0.25	20	21	3	0	9.57
1	3	0.25	20	22	2	0.63	10.2
1	3	0.25	20	23	3	0.79	10.99
1	3	0.25	20	24	4	0.99	11.98
1	3	0.25	20	25	5	1.24	13.22
1	3	0.25	20	26	5	0	13.22
1	3	0.25	20	27	1	0	13.22
1	3	0.25	20	28	1	0	13.22
1	3	0.25	20	29	2	0	13.22
1	3	0.25	20	30	2	0	13.22
2	2	0.1765	15	1	6	1.12	1.12
2	2	0.1765	15	2	4	0	1.12
2	2	0.1765	15	3	5	0.95	2.07
2	2	0.1765	15	4	5	0.95	3.02
2	2	0.1765	15	5	6	1.12	4.14
2	2	0.1765	15	6	4	0.81	4.95
2	2	0.1765	15	7	5	0	4.95
2	2	0.1765	15	8	1	0	4.95
2	2	0.1765	15	9	5	0	4.95
2	2	0.1765	15	10	6	1.12	6.07
2	2	0.1765	15	11	6	1.12	7.19
2	2	0.1765	15	12	6	1.12	8.31
2	2	0.1765	15	13	2	0	8.31
2	2	0.1765	15	14	6	0	8.31
2	2	0.1765	15	15	6	1.12	9.43
2	2	0.1765	15	16	2	0	9.43
2	2	0.1765	15	17	4	0	9.43
2	2	0.1765	15	18	5	0	9.43
2	2	0.1765	15	19	3	0.69	10.12
2	2	0.1765	15	20	7	1.32	11.44
2	2	0.1765	15	21	9	0	11.44
2	2	0.1765	15	22	3	0	11.44
2	2	0.1765	15	23	1	0	11.44
2	2	0.1765	15	24	10	2.14	13.58
2	2	0.1765	15	25	6	0	13.58
2	2	0.1765	15	26	1	0	13.58
2	2	0.1765	15	27	7	1.32	14.9
2	2	0.1765	15	28	11	2.52	17.42
2	2	0.1765	15	29	13	3.48	20.9
2	2	0.1765	15	30	5	0	20.9
3	1	0.1111	10	1	9	0	0
3	1	0.1111	10	2	6	0	0
3	1	0.1111	10	3	8	1.07	1.07
3	1	0.1111	10	4	1	0	1.07
3	1	0.1111	10	5	5	0	1.07
3	1	0.1111	10	6	8	1.07	2.14
3	1	0.1111	10	7	1	0	2.14
3	1	0.1111	10	8	8	1.07	3.21
3	1	0.1111	10	9	7	0	3.21
3	1	0.1111	10	10	5	0	3.21
3	1	0.1111	10	11	4	0	3.21
3	1	0.1111	10	12	4	0.69	3.9
3	1	0.1111	10	13	10	0	3.9
3	1	0.1111	10	14	6	0.86	4.76
3	1	0.1111	10	15	7	0.96	5.72
3	1	0.1111	10	16	8	1.07	6.79
3	1	0.1111	10	17	8	1.07	7.86
3	1	0.1111	10	18	8	1.07	8.93
3	1	0.1111	10	19	2	0	8.93
3	1	0.1111	10	20	4	0	8.93
3	1	0.1111	10	21	3	0	8.93
3	1	0.1111	10	22	6	0.86	9.79
3	1	0.1111	10	23	7	0.96	10.75
3	1	0.1111	10	24	7	0.96	11.71
3	1	0.1111	10	25	1	0	11.71
3	1	0.1111	10	26	4	0.69	12.4
3	1	0.1111	10	27	7	0.96	13.36
3	1	0.1111	10	28	7	0.96	14.32
3	1	0.1111	10	29	3	0	14.32
3	1	0.1111	10	30	4	0	14.32
