"hidA","hidB","did","giftsAB","giftsBA","offset","drel1","drel2","drel3","drel4","dlndist","dass","d0125"
1,2,1,0,4,0,0,0,1,0,-2.79,0,0
1,3,2,6,31,-0.003,0,1,0,0,-2.817,0.044,0
1,4,3,2,5,-0.019,0,1,0,0,-1.886,0.025,0
1,5,4,4,2,0,0,1,0,0,-1.892,0.011,0
1,6,5,8,2,-0.003,1,0,0,0,-3.499,0.022,0
1,7,6,2,1,0,0,0,0,0,-1.853,0.071,0
1,8,7,1,2,0,0,0,0,1,-1.475,0.046,0
1,9,8,0,1,0,0,0,0,1,-1.644,0.003,0
1,10,9,10,110,-0.186,1,0,0,0,-1.897,0.552,0
1,11,10,1,0,0,0,1,0,0,-2.379,0.018,0
1,12,11,0,0,-0.471,0,0,1,0,-2.2,0.004,0
1,13,12,0,6,-0.019,0,0,1,0,-2.117,0.004,0
1,14,13,1,11,-0.011,0,1,0,0,-2.83,0.036,0
1,15,14,6,0,-0.014,0,0,0,0,-2.492,0.006,0
1,16,15,0,1,-0.019,0,0,0,0,-1.848,0.014,0
1,17,16,0,4,-0.019,0,0,0,1,-2.58,0,0
1,18,17,0,0,-0.019,0,0,0,0,-2.184,0.025,0
1,19,18,0,2,0,0,0,0,1,-1.883,0,0
1,20,19,0,0,-0.028,0,0,1,0,-2.089,0.012,0
1,21,20,0,7,-0.031,0,0,0,1,-2.364,0.007,0
1,22,21,0,0,0,0,0,0,1,-2.538,0.01,0
1,23,22,0,13,-0.092,0,1,0,0,-4.068,0.012,0
1,24,23,0,0,0,0,0,0,0,-1.824,0,0
1,25,24,16,2,-0.637,0,0,1,0,-1.766,0.08,1
2,3,25,1,3,-0.003,0,0,1,0,-2.111,0.007,0
2,4,26,2,1,-0.019,0,0,1,0,-1.58,0.013,0
2,5,27,0,1,0,0,0,1,0,-1.571,0,0
2,6,28,3,0,-0.003,0,1,0,0,-2.401,0,0
2,7,29,0,1,0,0,0,0,0,-1.609,0,0
2,8,30,43,10,0,1,0,0,0,-1.274,0.252,0
2,9,31,5,4,0,1,0,0,0,-1.534,0.035,0
2,10,32,0,1,-0.186,0,0,0,1,-1.56,0.01,0
2,11,33,1,0,0,0,0,1,0,-1.877,0.004,0
2,12,34,0,0,-0.471,0,0,0,1,-1.779,0,0
2,13,35,1,2,-0.019,0,0,0,1,-1.711,0,0
2,14,36,1,0,-0.011,0,0,1,0,-2.277,0,0
2,15,37,2,0,-0.014,0,0,0,0,-2.074,0.027,0
2,16,38,4,2,-0.019,0,0,0,1,-1.567,0,0
2,17,39,22,16,-0.019,1,0,0,0,-3.434,0.239,0
2,18,40,1,1,-0.019,0,0,0,1,-2.198,0.019,0
2,19,41,6,9,0,1,0,0,0,-1.832,0.093,0
2,20,42,0,5,-0.028,0,0,0,1,-1.953,0,0
2,21,43,1,3,-0.031,0,0,1,0,-2.078,0.011,0
2,22,44,14,25,0,1,0,0,0,-2.322,0.194,0
2,23,45,2,5,-0.092,0,0,1,0,-2.558,0.017,0
2,24,46,5,2,0,0,0,1,0,-1.692,0.07,0
2,25,47,1,0,-0.637,0,0,0,1,-1.464,0.01,0
3,4,48,15,0,-0.022,0,1,0,0,-2.252,0.085,0
3,5,49,23,2,-0.003,0,1,0,0,-2.307,0.116,0
3,6,50,49,4,-0.005,1,0,0,0,-3.442,0.118,0
3,7,51,6,0,-0.003,0,0,0,0,-2.056,0.012,0
3,8,52,3,0,-0.003,0,0,0,1,-1.678,0.02,0
3,9,53,0,0,-0.003,0,0,0,1,-1.675,0.009,0
3,10,54,2,8,-0.186,0,0,1,0,-2.384,0.018,0
3,11,55,11,1,-0.003,0,1,0,0,-3.321,0.024,0
3,12,56,7,0,-0.471,0,0,1,0,-2.814,0.016,0
3,13,57,7,2,-0.022,0,0,1,0,-2.763,0.026,0
3,14,58,12,2,-0.014,0,1,0,0,-2.798,0.113,0
3,15,59,22,4,-0.017,1,0,0,0,-2.635,0.028,0
3,16,60,5,1,-0.022,0,0,0,0,-2.15,0.046,0
3,17,61,10,5,-0.022,0,0,0,1,-2.024,0.015,0
3,18,62,0,0,-0.022,0,0,0,0,-1.958,0.033,0
3,19,63,4,0,-0.003,0,0,0,1,-1.797,0.014,0
3,20,64,3,1,-0.031,0,0,1,0,-2.023,0.039,0
3,21,65,2,1,-0.033,0,0,0,1,-2.348,0.006,0
3,22,66,2,1,-0.003,0,0,0,1,-2.304,0.006,0
3,23,67,13,26,-0.095,0,1,0,0,-3.107,0.146,0
3,24,68,2,0,-0.003,0,0,0,0,-1.84,0.041,0
3,25,69,9,0,-0.637,0,0,1,0,-2.178,0.018,0
4,5,70,1,8,-0.019,0,1,0,0,-4.035,0.14,0
4,6,71,19,4,-0.022,1,0,0,0,-2.099,0.093,0
4,7,72,0,1,-0.019,0,0,1,0,-2.926,0.04,0
4,8,73,0,0,-0.019,0,0,0,1,-1.473,0,0
4,9,74,0,1,-0.019,0,0,0,1,-1.999,0.015,0
4,10,75,1,8,-0.21,0,0,1,0,-2.968,0.01,0
4,11,76,2,0,-0.019,0,1,0,0,-2.637,0.027,0
4,12,77,1,3,-0.502,0,0,1,0,-3.089,0.012,0
4,13,78,1,11,-0.059,0,0,1,0,-2.896,0.02,0
4,14,79,0,6,-0.031,0,1,0,0,-2.252,0.147,0
4,15,80,2,2,-0.033,0,0,0,0,-2.453,0.021,0
4,16,81,7,17,-0.059,0,0,0,0,-3.942,0.064,0
4,17,82,1,3,-0.059,0,0,0,1,-1.594,0.008,0
4,18,83,0,1,-0.059,0,0,0,0,-1.813,0.028,0
4,19,84,0,2,-0.019,0,0,0,1,-1.866,0,0
4,20,85,0,2,-0.048,0,0,1,0,-2.07,0.08,0
4,21,86,0,5,-0.051,0,0,0,1,-2.273,0,0
4,22,87,0,2,-0.019,0,0,0,1,-2.033,0.026,0
4,23,88,1,13,-0.092,0,1,0,0,-1.947,0.115,0
4,24,89,1,0,-0.019,0,0,0,0,-2.108,0,0
4,25,90,1,1,-0.674,0,1,0,0,-2.857,0.03,0
5,6,91,13,17,-0.003,1,0,0,0,-2.113,0.362,0
5,7,92,1,3,0,0,0,0,0,-2.644,0,0
5,8,93,0,0,0,0,0,0,1,-1.551,0,0
5,9,94,0,2,0,0,0,0,1,-1.879,0,0
5,10,95,2,17,-0.186,0,0,1,0,-3.386,0,0
5,11,96,1,3,0,0,1,0,0,-2.749,0.044,0
5,12,97,1,5,-0.471,0,0,1,0,-3.21,0.058,0
5,13,98,2,19,-0.019,0,0,1,0,-3.156,0.068,0
5,14,99,1,2,-0.011,0,1,0,0,-2.209,0,0
5,15,100,4,2,-0.014,0,0,0,0,-2.371,0.036,0
5,16,101,3,7,-0.019,0,0,0,0,-3.296,0,0
5,17,102,1,3,-0.019,0,0,0,1,-1.572,0.016,0
5,18,103,0,0,-0.019,0,0,0,0,-1.748,0,0
5,19,104,1,1,0,0,0,0,1,-1.776,0,0
5,20,105,3,3,-0.028,0,0,1,0,-1.97,0.017,0
5,21,106,1,3,-0.031,0,0,0,1,-2.178,0,0
5,22,107,1,5,0,0,0,0,1,-1.97,0,0
5,23,108,0,11,-0.092,0,1,0,0,-1.965,0.034,0
5,24,109,0,1,0,0,0,0,0,-1.982,0,0
5,25,110,3,1,-0.637,0,0,1,0,-3.201,0.098,0
6,7,111,0,2,-0.003,0,0,0,0,-2.018,0.009,0
6,8,112,0,0,-0.003,0,0,1,0,-1.544,0.031,0
6,9,113,0,0,-0.003,0,0,1,0,-1.718,0,0
6,10,114,0,29,-0.186,0,0,1,0,-2.121,0.027,0
6,11,115,3,4,-0.003,1,0,0,0,-2.771,0.033,0
6,12,116,0,1,-0.475,0,0,1,0,-2.517,0.028,0
6,13,117,0,9,-0.019,0,0,1,0,-2.404,0,0
6,14,118,5,25,-0.011,1,0,0,0,-3.139,0.092,0
6,15,119,0,2,-0.017,0,0,0,0,-2.763,0,0
6,16,120,0,2,-0.019,0,0,0,1,-2.041,0.007,0
6,17,121,0,6,-0.019,0,0,1,0,-2.301,0,0
6,18,122,0,0,-0.019,0,0,0,1,-2.153,0.012,0
6,19,123,0,2,-0.003,0,0,1,0,-1.913,0.01,0
6,20,124,0,1,-0.031,0,0,1,0,-2.156,0,0
6,21,125,0,6,-0.031,0,0,1,0,-2.51,0.002,0
6,22,126,1,0,-0.003,0,0,1,0,-2.569,0.005,0
6,23,127,4,50,-0.092,1,0,0,0,-3.882,0.099,0
6,24,128,0,0,-0.003,0,0,0,1,-1.906,0.016,0
6,25,129,2,1,-0.637,0,0,1,0,-1.959,0.033,0
7,8,130,0,1,0,0,0,0,0,-1.276,0.037,0
7,9,131,0,5,0,0,0,0,0,-2.503,0.024,0
7,10,132,0,4,-0.186,0,0,0,0,-2.264,0,0
7,11,133,3,2,0,0,0,0,0,-2.265,0.022,0
7,12,134,0,2,-0.471,0,0,0,0,-2.525,0.123,0
7,13,135,3,6,-0.019,0,0,0,0,-2.309,0,0
7,14,136,2,1,-0.011,0,0,0,0,-2.31,0.015,0
7,15,137,3,4,-0.014,0,0,0,0,-2.588,0.065,0
7,16,138,8,4,-0.019,0,0,0,0,-3.33,0.101,0
7,17,139,2,4,-0.019,0,0,0,0,-1.667,0,0
7,18,140,0,1,-0.019,0,0,0,1,-2.041,0.149,0
7,19,141,0,0,0,0,0,0,0,-2.216,0,0
7,20,142,0,8,-0.028,0,0,0,0,-2.445,0.07,0
7,21,143,0,18,-0.031,0,0,0,0,-2.552,0.074,0
7,22,144,0,1,0,0,0,0,0,-2.221,0.035,0
7,23,145,0,7,-0.092,0,0,0,0,-1.875,0.028,0
7,24,146,4,4,0,0,0,0,0,-2.651,0.094,0
7,25,147,2,2,-0.637,0,0,0,0,-2.199,0.032,0
8,9,148,2,5,0,0,1,0,0,-1.031,0.07,0
8,10,149,0,4,-0.186,0,0,0,0,-1.723,0,0
8,11,150,2,0,0,0,0,1,0,-1.686,0,0
8,12,151,2,0,-0.471,0,0,0,0,-1.6,0,0
8,13,152,1,3,-0.019,0,0,0,0,-1.714,0,0
8,14,153,2,8,-0.011,0,0,0,1,-1.397,0.051,0
8,15,154,1,0,-0.014,0,0,0,0,-1.374,0.013,0
8,16,155,2,2,-0.019,0,0,0,0,-1.392,0,0
8,17,156,2,16,-0.019,0,1,0,0,-1.194,0.139,0
8,18,157,0,2,-0.019,0,0,0,0,-1.115,0,0
8,19,158,1,10,0,0,1,0,0,-1.051,0.13,0
8,20,159,0,11,-0.028,0,0,0,0,-1.154,0,0
8,21,160,0,4,-0.031,0,0,0,1,-1.277,0.039,0
